age,balance,duration,pdays,unemployment,married,education,housing,default,loan,y
30,1787,79,-1,1,1,0,0,0,0,no
33,4789,220,339,0,1,1,1,0,1,no
35,1350,185,330,0,0,1,1,0,0,no
30,1476,199,-1,0,1,1,1,0,1,no
59,0,226,-1,0,1,1,1,0,0,no
35,747,141,176,0,0,1,0,0,0,no
36,307,341,330,0,1,1,1,0,0,no
39,147,151,-1,0,1,1,1,0,0,no
41,221,57,-1,0,1,1,1,0,0,no
43,-88,313,147,0,1,0,1,0,1,no
39,9374,273,-1,0,1,1,1,0,0,no
43,264,113,-1,0,1,1,1,0,0,no
36,1109,328,-1,0,1,1,0,0,0,no
20,502,261,-1,0,0,1,0,0,0,yes
31,360,89,241,0,1,1,1,0,1,no
40,194,189,-1,0,1,1,0,0,1,no
56,4073,239,-1,0,1,1,0,0,0,no
37,2317,114,152,0,0,1,1,0,0,no
25,-221,250,-1,0,0,0,1,0,0,no
31,132,148,152,0,1,1,0,0,0,no
38,0,96,-1,0,0,0,1,0,0,no
42,16,140,-1,0,0,1,0,0,0,no
44,106,109,-1,0,0,1,0,0,0,no
44,93,125,-1,0,1,1,0,0,0,no
26,543,169,-1,0,1,1,0,0,0,no
41,5883,182,-1,0,1,1,0,0,0,no
55,627,247,-1,0,1,0,1,0,0,no
67,696,119,105,0,1,0,0,0,0,no
56,784,149,-1,0,1,1,0,0,1,no
53,105,74,-1,0,1,1,0,0,1,no
68,4189,897,-1,0,0,1,0,0,0,yes
31,171,81,-1,0,1,1,0,0,0,no
59,42,40,-1,0,1,1,0,0,0,no
32,2536,958,-1,0,0,1,1,0,0,yes
49,1235,354,-1,0,1,1,0,0,0,yes
42,1811,150,-1,0,0,1,1,0,0,no
78,229,97,-1,0,0,0,0,0,0,yes
32,2089,132,-1,0,1,1,1,0,0,yes
33,3935,765,342,0,1,1,1,0,0,yes
23,363,16,-1,0,0,1,1,0,0,no
38,11971,609,101,0,0,1,1,0,0,no
36,553,106,-1,0,0,1,0,0,0,no
52,1117,365,-1,0,1,1,1,0,0,no
32,396,205,-1,0,1,1,1,0,0,no
32,2204,11,-1,0,0,1,1,0,0,no
34,872,105,-1,0,0,1,1,0,0,no
55,145,59,5,0,1,0,0,0,0,no
26,0,425,-1,0,1,0,1,0,0,no
32,-849,204,-1,0,0,0,1,1,1,no
61,4629,181,92,0,1,0,1,0,0,yes
45,844,1018,-1,0,0,0,0,0,0,yes
37,228,1740,-1,0,0,1,1,0,0,no
38,50,98,-1,0,0,1,0,0,0,no
34,1539,441,56,0,1,1,1,0,0,yes
53,2231,272,-1,0,1,1,1,0,0,no
48,3064,159,-1,0,1,1,1,0,0,no
57,82,140,-1,0,1,1,0,0,1,no
33,2155,295,-1,0,0,1,0,0,0,no
36,101,314,-1,0,0,1,1,0,1,no
54,784,579,-1,0,0,1,1,0,1,no
41,-516,554,-1,0,1,0,0,0,1,no
63,415,323,-1,0,1,1,1,0,0,no
48,5887,227,-1,0,1,1,0,0,0,no
48,1355,134,-1,0,1,1,0,0,0,no
56,16873,223,-1,0,1,1,0,0,0,no
51,203,134,170,0,0,1,1,0,0,no
31,338,155,-1,0,1,1,1,0,0,no
29,444,130,-1,0,1,1,1,0,0,no
41,0,630,-1,0,1,1,0,0,1,no
32,360,164,-1,0,0,1,0,0,0,no
37,0,268,182,0,1,1,0,0,0,yes
42,2,380,-1,0,0,1,1,1,0,no
31,6248,154,-1,0,0,1,1,0,0,no
41,412,154,-1,0,1,1,1,0,0,no
56,344,221,-1,0,1,1,1,0,0,no
54,3222,67,-1,0,0,1,0,0,0,no
41,174,367,297,0,0,1,1,0,0,no
40,591,87,-1,0,0,1,0,0,1,no
50,388,701,-1,0,0,0,0,0,0,no
40,219,204,196,1,1,1,1,0,0,no
27,451,652,-1,0,0,1,1,0,0,yes
60,5,63,-1,0,1,0,0,0,0,no
28,177,150,-1,0,0,1,1,0,1,no
52,657,398,460,0,1,1,0,0,0,yes
37,1315,224,-1,0,1,1,0,0,0,yes
51,1466,406,-1,0,1,0,1,0,0,no
41,879,60,-1,0,0,1,0,0,1,no
35,293,521,-1,0,0,0,1,0,0,no
38,424,279,-1,0,1,1,1,0,0,no
34,1831,203,-1,0,1,1,1,0,0,no
39,111,201,-1,0,1,0,0,0,0,no
34,455,372,-1,0,1,0,1,0,0,no
27,-195,391,-1,0,0,1,1,0,0,yes
